subject,step,task,n_trials
128,S00_2AFC_Gap,gap_laser2,1715
128,S00_Nafc_Gap,gap_laser2,0
128,S01_2AFC_Gap_Laser,gap_laser2,71123
128,S01_Nafc_Gap_Laser,gap_laser2,0
128,S00_2AFC_Gap,gap_laser,9038
128,S01_2AFC_Gap_Laser,gap_laser,0
128,S00_Free Water,gap_detection,201
128,S01_request_rewards,gap_detection,301
128,S02_long_gap,gap_detection,3177
128,S03_gap_128,gap_detection,979
128,S04_gap_64,gap_detection,1158
128,S05_gap_all,gap_detection,102868
9239,S00_Free Water,speech_discrim_stepped,201
9239,S01_reqrewards,speech_discrim_stepped,301
9239,S02_tonediscrim,speech_discrim_stepped,19287
9239,S03_speech_1,speech_discrim_stepped,16258
9239,S04_speech_2,speech_discrim_stepped,0
9239,S05_speech_3,speech_discrim_stepped,0
9239,S06_speech_4,speech_discrim_stepped,0
9239,S07_speech_5,speech_discrim_stepped,0
9239,S08_speech_6,speech_discrim_stepped,0
9239,S09_speech_7,speech_discrim_stepped,0
9239,S10_speech_8,speech_discrim_stepped,0
9239,S11_speech_9,speech_discrim_stepped,0
9239,S12_speech_10,speech_discrim_stepped,0
9239,S13_speech_11,speech_discrim_stepped,0
9239,S14_speech_12,speech_discrim_stepped,0
9239,S15_speech_13,speech_discrim_stepped,0
9239,S16_speech_14,speech_discrim_stepped,0
9239,S17_speech_15,speech_discrim_stepped,0
9239,S18_speech_16,speech_discrim_stepped,0
9239,S19_speech_17,speech_discrim_stepped,0
9239,S20_speech_18,speech_discrim_stepped,0
9239,S21_speech_19,speech_discrim_stepped,0
9239,S22_speech_20,speech_discrim_stepped,0
9239,S23_speech_21,speech_discrim_stepped,0
9239,S24_speech_22,speech_discrim_stepped,0
9239,S25_speech_23,speech_discrim_stepped,0
9239,S26_speech_24,speech_discrim_stepped,0
9239,S27_speech_25,speech_discrim_stepped,0
9239,S28_speech_26,speech_discrim_stepped,0
9239,S29_speech_27,speech_discrim_stepped,0
996,S00_Free Water,gap_laser_GPR26,219
996,S01_request_rewards,gap_laser_GPR26,310
996,S02_long_gap,gap_laser_GPR26,1383
996,S03_gap_128,gap_laser_GPR26,567
996,S04_gap_64,gap_laser_GPR26,246
996,S05_gap_all,gap_laser_GPR26,0
996,S06_2AFC_Gap_Laser,gap_laser_GPR26,0
35,S00_2AFC_Gap,gap_laser2,1128
35,S00_Nafc_Gap,gap_laser2,0
35,S01_2AFC_Gap_Laser,gap_laser2,46199
35,S01_Nafc_Gap_Laser,gap_laser2,0
35,S00_2AFC_Gap,gap_laser,4838
35,S01_2AFC_Gap_Laser,gap_laser,0
