group,latencies
"(44, 7)",0.000445
"(44, 8)",0.000466
"(44, 9)",0.000406
"(45, 0)",0.00049
"(45, 1)",0.000446
"(45, 2)",0.000414
"(45, 3)",0.000486
"(45, 4)",0.000495
"(45, 5)",0.000495
"(45, 6)",0.000514
"(45, 7)",0.000465
"(45, 8)",0.00049
"(45, 9)",0.000418
"(46, 0)",0.000414
"(46, 1)",0.00047
"(46, 2)",0.000426
"(46, 3)",0.000466
"(46, 4)",0.000535
"(46, 5)",0.000525
"(46, 6)",0.000458
"(46, 7)",0.000415
"(46, 8)",0.000426
"(46, 9)",0.000454
"(47, 0)",0.000422
"(47, 1)",0.000494
"(47, 2)",0.000434
"(47, 3)",0.000554
"(47, 4)",0.000585
"(47, 5)",0.000485
"(47, 6)",0.000514
"(47, 7)",0.000435
"(47, 8)",0.000446
"(47, 9)",0.00047
"(48, 0)",0.000426
"(48, 1)",0.000434
"(48, 2)",0.000446
"(48, 3)",0.000546
"(48, 4)",0.000565
"(48, 5)",0.000465
"(48, 6)",0.000458
"(48, 7)",0.000455
"(48, 8)",0.000482
"(48, 9)",0.00049
"(49, 0)",0.000426
"(49, 1)",0.000442
"(49, 2)",0.000454
"(49, 3)",0.000538
"(49, 4)",0.000515
"(49, 5)",0.000505
"(49, 6)",0.000492
"(49, 7)",0.000495
"(49, 8)",0.000518
"(49, 9)",0.000422
"(50, 0)",0.000442
"(50, 1)",0.000442
"(50, 2)",0.000454
"(50, 3)",0.000522
"(50, 4)",0.000475
"(50, 5)",0.000545
"(50, 6)",0.000434
"(50, 7)",0.000435
"(50, 8)",0.000462
"(50, 9)",0.000438
"(51, 0)",0.00045
"(51, 1)",0.000446
"(51, 2)",0.00047
"(51, 3)",0.000502
"(51, 4)",0.000545
"(51, 5)",0.000525
"(51, 6)",0.000466
"(51, 7)",0.000445
"(51, 8)",0.000494
"(51, 9)",0.000462
"(52, 0)",0.000482
"(52, 1)",0.000454
"(52, 2)",0.000478
"(52, 3)",0.000486
"(52, 4)",0.000515
"(52, 5)",0.000485
"(52, 6)",0.000498
"(52, 7)",0.000475
"(52, 8)",0.000434
"(52, 9)",0.000474
