group,latencies
"(450, 1)",4.7e-07
"(451, 1)",4.9e-07
"(452, 1)",2.9e-07
"(453, 1)",3.5e-07
"(454, 1)",4.1e-07
"(455, 1)",4.5e-07
"(456, 1)",4.3e-07
"(457, 1)",4.3e-07
"(458, 1)",3.3e-07
"(459, 1)",4.1e-07
"(460, 1)",3.5e-07
"(461, 1)",4.7e-07
"(462, 1)",3.1e-07
"(463, 1)",2.7e-07
"(464, 1)",2.5e-07
"(465, 1)",4.3e-07
"(466, 1)",4.7e-07
"(467, 1)",2.5e-07
"(468, 1)",3.3e-07
"(469, 1)",2.7e-07
"(470, 1)",3.5e-07
"(471, 1)",3.5e-07
"(472, 1)",4.1e-07
"(473, 1)",2.7e-07
"(474, 1)",3.9e-07
"(475, 1)",4.5e-07
"(476, 1)",3.5e-07
"(477, 1)",2.7e-07
"(478, 1)",4.1e-07
"(479, 1)",4.1e-07
"(480, 1)",4.3e-07
"(481, 1)",4.3e-07
"(482, 1)",2.5e-07
"(483, 1)",3.9e-07
"(484, 1)",3.6e-07
"(485, 1)",4.6e-07
"(486, 1)",3.1e-07
"(487, 1)",3.7e-07
"(488, 1)",2.5e-07
"(489, 1)",4.9e-07
"(490, 1)",2.7e-07
"(491, 1)",3.7e-07
"(492, 1)",3.9e-07
"(493, 1)",2.7e-07
"(494, 1)",4.1e-07
"(495, 1)",2.7e-07
"(496, 1)",3.9e-07
"(497, 1)",3.3e-07
"(498, 1)",2.5e-07
"(499, 1)",2.7e-07
"(500, 1)",2.9e-07
"(501, 1)",4.7e-07
"(502, 1)",3.5e-07
"(503, 1)",3.5e-07
"(504, 1)",4.1e-07
"(505, 1)",2.9e-07
"(506, 1)",3.7e-07
"(507, 1)",3.5e-07
"(508, 1)",3.7e-07
"(509, 1)",3.9e-07
"(510, 1)",3.7e-07
"(511, 1)",3.1e-07
"(512, 1)",4.7e-07
"(513, 1)",4.5e-07
"(514, 1)",4.1e-07
"(515, 1)",4.9e-07
"(516, 1)",3.3e-07
"(517, 1)",4.5e-07
"(518, 1)",4.6e-07
"(519, 1)",4.7e-07
"(520, 1)",4.5e-07
"(521, 1)",4.9e-07
